2026-04-29 12:39:34,803 | INFO | test_get_status | 20 | Starting test: test_get_status - Checking API health status.
2026-04-29 12:39:39,622 | INFO | test_create_a_new_order | 72 | ✓ Test completed successfully: New order created.
2026-04-29 12:39:39,627 | INFO | test_update_an_order | 33 | Starting test: test_update_an_order - Updating an existing order.
2026-04-29 12:39:39,630 | INFO | test_update_an_order | 36 | Reading access token from file.
2026-04-29 12:39:39,632 | INFO | test_update_an_order | 41 | Reading order details from file.
2026-04-29 12:39:39,634 | INFO | test_update_an_order | 49 | Preparing update payload.
2026-04-29 12:39:39,635 | INFO | test_update_an_order | 54 | Making PATCH request to update order.
2026-04-29 12:39:39,973 | INFO | test_update_an_order | 61 | Asserting that update order endpoint returned 204 No Content.
2026-04-29 12:39:39,973 | INFO | test_update_an_order | 63 | ✓ Test completed successfully: Order updated.
2026-04-29 12:39:39,991 | INFO | test_get_all_orders | 24 | Starting test: test_get_all_orders - Retrieving all orders for authenticated client.
2026-04-29 12:39:39,993 | INFO | test_get_all_orders | 27 | Reading access token from file.
2026-04-29 12:39:39,995 | INFO | test_get_all_orders | 32 | Making GET request to retrieve all orders.
2026-04-29 12:39:40,330 | INFO | test_get_all_orders | 36 | Asserting that get all orders endpoint returned 200 OK.
2026-04-29 12:39:40,332 | INFO | test_get_all_orders | 40 | Parsing response from get all orders endpoint.
2026-04-29 12:39:40,338 | INFO | test_get_all_orders | 45 | Saving all orders to JSON file for debugging and reuse.
2026-04-29 12:39:40,341 | INFO | test_get_all_orders | 49 | ✓ Test completed successfully: All orders retrieved.
2026-04-29 14:18:41,265 | INFO | test_get_status | 20 | Starting test: test_get_status - Checking API health status.
2026-04-29 14:18:41,281 | INFO | test_get_status | 22 | Making GET request to /status endpoint.
2026-04-29 14:18:42,626 | INFO | test_get_status | 25 | Parsing response from /status endpoint.
2026-04-29 14:18:42,641 | INFO | test_get_status | 29 | Asserting that the /status endpoint returned 200 OK.
2026-04-29 14:18:42,648 | INFO | test_get_status | 32 | Asserting that the API status is UP.
2026-04-29 14:18:42,652 | INFO | test_get_status | 35 | Asserting that the response status code is 200.
2026-04-29 14:18:42,653 | INFO | test_get_status | 39 | Saving API status response to a JSON file for debugging.
2026-04-29 14:18:42,660 | INFO | test_get_status | 43 | ✓ Test completed successfully: API status is UP.
2026-04-29 14:18:42,705 | INFO | test_create_new_cart | 20 | Starting test: test_create_new_cart - Creating a new shopping cart.
2026-04-29 14:18:42,706 | INFO | test_create_new_cart | 23 | Making POST request to /carts endpoint to create new cart.
2026-04-29 14:18:43,056 | INFO | test_create_new_cart | 27 | Parsing response from /carts endpoint.
2026-04-29 14:18:43,066 | INFO | test_create_new_cart | 31 | Asserting that the /carts endpoint returned 201 Created.
2026-04-29 14:18:43,070 | INFO | test_create_new_cart | 35 | Asserting that response is a JSON object.
2026-04-29 14:18:43,077 | INFO | test_create_new_cart | 39 | Asserting that response contains required cart fields.
2026-04-29 14:18:43,081 | INFO | test_create_new_cart | 44 | Performing type checks on cart fields.
2026-04-29 14:18:43,082 | INFO | test_create_new_cart | 49 | Asserting that cart was successfully created.
2026-04-29 14:18:43,083 | INFO | test_create_new_cart | 53 | Saving cart details to JSON file for debugging and reuse.
2026-04-29 14:18:43,086 | INFO | test_create_new_cart | 58 | Saving cartId to text file for quick access by other tests.
2026-04-29 14:18:43,091 | INFO | test_create_new_cart | 62 | ✓ Test completed successfully: New shopping cart created.
2026-04-29 14:18:43,109 | INFO | test_add_item_to_cart | 21 | Starting test: test_add_item_to_cart - Adding an item to the shopping cart.
2026-04-29 14:18:43,111 | INFO | test_add_item_to_cart | 24 | Loading product list from test data file.
2026-04-29 14:18:43,114 | INFO | test_add_item_to_cart | 29 | Asserting that product list is not empty.
2026-04-29 14:18:43,116 | INFO | test_add_item_to_cart | 33 | Selecting random product from available products.
2026-04-29 14:18:43,118 | INFO | test_add_item_to_cart | 38 | Preparing payload with selected product ID.
2026-04-29 14:18:43,119 | INFO | test_add_item_to_cart | 44 | Reading cart ID from file.
2026-04-29 14:18:43,120 | INFO | test_add_item_to_cart | 49 | Asserting that cart ID is present.
2026-04-29 14:18:43,121 | INFO | test_add_item_to_cart | 54 | Making POST request to add item to cart.
2026-04-29 14:18:43,507 | INFO | test_add_item_to_cart | 58 | Parsing response from add item to cart endpoint.
2026-04-29 14:18:43,514 | INFO | test_add_item_to_cart | 62 | Asserting that add item endpoint returned 201 Created.
2026-04-29 14:18:43,515 | INFO | test_add_item_to_cart | 66 | Asserting that response contains required fields.
2026-04-29 14:18:43,515 | INFO | test_add_item_to_cart | 71 | Asserting that response is a JSON object.
2026-04-29 14:18:43,516 | INFO | test_add_item_to_cart | 75 | Performing type checks on response fields.
2026-04-29 14:18:43,517 | INFO | test_add_item_to_cart | 81 | Saving added item details to JSON file for debugging and reuse.
2026-04-29 14:18:43,520 | INFO | test_add_item_to_cart | 85 | ✓ Test completed successfully: Item added to cart.
2026-04-29 14:18:43,534 | INFO | test_get_cart_items | 21 | Starting test: test_get_cart_items - Retrieving all items from the shopping cart.
2026-04-29 14:18:43,535 | INFO | test_get_cart_items | 24 | Reading cart ID from file.
2026-04-29 14:18:43,536 | INFO | test_get_cart_items | 30 | Making GET request to retrieve cart items.
2026-04-29 14:18:44,301 | INFO | test_get_cart_items | 34 | Asserting that get cart items endpoint returned 200 OK.
2026-04-29 14:18:44,301 | INFO | test_get_cart_items | 38 | Parsing response from get cart items endpoint.
2026-04-29 14:18:44,301 | INFO | test_get_cart_items | 42 | Asserting that response is a list of items.
2026-04-29 14:18:44,301 | INFO | test_get_cart_items | 48 | Cart contains items, validating item structure.
2026-04-29 14:18:44,301 | INFO | test_get_cart_items | 53 | Asserting that items contain required fields.
2026-04-29 14:18:44,301 | INFO | test_get_cart_items | 58 | Performing type checks on item fields.
2026-04-29 14:18:44,301 | INFO | test_get_cart_items | 65 | Saving cart items to JSON file for debugging and reuse.
2026-04-29 14:18:44,301 | INFO | test_get_cart_items | 69 | ✓ Test completed successfully: Cart items retrieved.
2026-04-29 14:18:44,332 | INFO | test_modify_item_in_cart | 22 | Starting test: test_modify_item_in_cart - Modifying quantity of an item in the cart.
2026-04-29 14:18:44,333 | INFO | test_modify_item_in_cart | 25 | Reading cart ID from file.
2026-04-29 14:18:44,334 | INFO | test_modify_item_in_cart | 31 | Reading cart items from file.
2026-04-29 14:18:44,335 | INFO | test_modify_item_in_cart | 37 | Selecting random item from cart to modify.
2026-04-29 14:18:44,338 | INFO | test_modify_item_in_cart | 42 | Preparing payload with new quantity value.
2026-04-29 14:18:44,338 | INFO | test_modify_item_in_cart | 50 | Cart has items, proceeding with modification.
2026-04-29 14:18:44,338 | INFO | test_modify_item_in_cart | 52 | Making PATCH request to modify item quantity.
2026-04-29 14:18:45,129 | INFO | test_modify_item_in_cart | 56 | Asserting that modify item endpoint returned 204 No Content.
2026-04-29 14:18:45,165 | INFO | test_replace_item_in_cart | 22 | Starting test: test_replace_item_in_cart - Replacing an item in the cart with a new product.
2026-04-29 14:18:45,168 | INFO | test_replace_item_in_cart | 24 | Reading cart ID from file.
2026-04-29 14:18:45,169 | INFO | test_replace_item_in_cart | 29 | Reading cart items from file.
2026-04-29 14:18:45,173 | INFO | test_replace_item_in_cart | 33 | Selecting random item from cart to replace.
2026-04-29 14:18:45,174 | INFO | test_replace_item_in_cart | 36 | Extracting product IDs of items currently in the cart.
2026-04-29 14:18:45,175 | INFO | test_replace_item_in_cart | 40 | Loading product list from test data file and filtering for in-stock products.
2026-04-29 14:18:45,179 | INFO | test_replace_item_in_cart | 44 | Extracting product IDs of in-stock products.
2026-04-29 14:18:45,185 | INFO | test_replace_item_in_cart | 48 | Removing products already in the cart from the list of available products.
2026-04-29 14:18:45,186 | INFO | test_replace_item_in_cart | 54 | Selecting a random product ID from the available products to replace the item in the cart.
2026-04-29 14:18:45,194 | INFO | test_replace_item_in_cart | 58 | Preparing payload with new product ID and random quantity.
2026-04-29 14:18:45,198 | INFO | test_replace_item_in_cart | 62 | Checking if cart has items before attempting to replace an item.
2026-04-29 14:18:45,198 | INFO | test_replace_item_in_cart | 65 | Making PUT request to replace the item in the cart.
2026-04-29 14:18:46,022 | INFO | test_replace_item_in_cart | 69 | Asserting that replace item endpoint returned 204 No Content.
2026-04-29 14:18:46,041 | INFO | test_replace_item_in_cart | 71 | ✓ Test completed successfully: Item replaced in cart.
2026-04-29 14:18:46,066 | INFO | test_register_a_new_client | 52 | Starting test: test_register_a_new_client - Registering a new API client and generating access token.
2026-04-29 14:18:46,086 | INFO | test_register_a_new_client | 58 | Generating random client credentials using Faker.
2026-04-29 14:18:46,086 | INFO | test_register_a_new_client | 66 | Making POST request to /api-clients endpoint to register new client.
2026-04-29 14:18:46,895 | INFO | test_register_a_new_client | 70 | Asserting that the /api-clients endpoint returned 201 Created.
2026-04-29 14:18:46,895 | INFO | test_register_a_new_client | 74 | Parsing response to extract access token.
2026-04-29 14:18:46,904 | INFO | test_register_a_new_client | 78 | Saving access token to file for reuse in other tests.
2026-04-29 14:18:46,907 | INFO | test_register_a_new_client | 83 | Saving client details to file for debugging and reuse.
2026-04-29 14:18:46,920 | INFO | test_register_a_new_client | 88 | Asserting that access token is present in response.
2026-04-29 14:18:46,927 | INFO | test_register_a_new_client | 90 | Asserting that access token is a dictionary.
2026-04-29 14:18:46,929 | INFO | test_register_a_new_client | 94 | Combining client details and access token into single dictionary.
2026-04-29 14:18:46,930 | INFO | test_register_a_new_client | 103 | Loading existing client details from file.
2026-04-29 14:18:46,932 | INFO | test_register_a_new_client | 118 | Appending new client to existing client details.
2026-04-29 14:18:46,935 | INFO | test_register_a_new_client | 122 | Saving updated client details to file.
2026-04-29 14:18:46,946 | INFO | test_register_a_new_client | 126 | ✓ Test completed successfully: New API client registered and access token generated.
2026-04-29 14:18:46,958 | INFO | test_create_a_new_order | 30 | Starting test: test_create_a_new_order - Creating a new order from cart.
2026-04-29 14:18:46,964 | INFO | test_create_a_new_order | 33 | Reading cart ID from file.
2026-04-29 14:18:46,965 | INFO | test_create_a_new_order | 38 | Reading access token from file.
2026-04-29 14:18:46,966 | INFO | test_create_a_new_order | 42 | Reading client details from file.
2026-04-29 14:18:46,968 | INFO | test_create_a_new_order | 48 | Preparing order payload.
2026-04-29 14:18:46,970 | INFO | test_create_a_new_order | 53 | Making POST request to create new order.
2026-04-29 14:18:47,332 | INFO | test_create_a_new_order | 60 | Asserting that create order endpoint returned 201 Created.
2026-04-29 14:18:47,332 | INFO | test_create_a_new_order | 64 | Parsing response from create order endpoint.
2026-04-29 14:18:47,352 | INFO | test_create_a_new_order | 68 | Saving order details to JSON file for debugging and reuse.
2026-04-29 14:18:47,355 | INFO | test_create_a_new_order | 72 | ✓ Test completed successfully: New order created.
2026-04-29 14:18:47,363 | INFO | test_update_an_order | 33 | Starting test: test_update_an_order - Updating an existing order.
2026-04-29 14:18:47,365 | INFO | test_update_an_order | 36 | Reading access token from file.
2026-04-29 14:18:47,367 | INFO | test_update_an_order | 41 | Reading order details from file.
2026-04-29 14:18:47,413 | INFO | test_update_an_order | 49 | Preparing update payload.
2026-04-29 14:18:47,502 | INFO | test_update_an_order | 54 | Making PATCH request to update order.
2026-04-29 14:18:48,365 | INFO | test_update_an_order | 61 | Asserting that update order endpoint returned 204 No Content.
2026-04-29 14:18:48,365 | INFO | test_update_an_order | 63 | ✓ Test completed successfully: Order updated.
2026-04-29 14:18:48,381 | INFO | test_get_all_orders | 24 | Starting test: test_get_all_orders - Retrieving all orders for authenticated client.
2026-04-29 14:18:48,382 | INFO | test_get_all_orders | 27 | Reading access token from file.
2026-04-29 14:18:48,397 | INFO | test_get_all_orders | 32 | Making GET request to retrieve all orders.
2026-04-29 14:18:48,736 | INFO | test_get_all_orders | 36 | Asserting that get all orders endpoint returned 200 OK.
2026-04-29 14:18:48,736 | INFO | test_get_all_orders | 40 | Parsing response from get all orders endpoint.
2026-04-29 14:18:48,770 | INFO | test_get_all_orders | 45 | Saving all orders to JSON file for debugging and reuse.
2026-04-29 14:18:48,770 | INFO | test_get_all_orders | 49 | ✓ Test completed successfully: All orders retrieved.
2026-04-29 14:19:02,387 | INFO | test_get_status | 20 | Starting test: test_get_status - Checking API health status.
2026-04-29 14:19:02,392 | INFO | test_get_status | 22 | Making GET request to /status endpoint.
2026-04-29 14:19:03,180 | INFO | test_get_status | 25 | Parsing response from /status endpoint.
2026-04-29 14:19:03,193 | INFO | test_get_status | 29 | Asserting that the /status endpoint returned 200 OK.
2026-04-29 14:19:03,195 | INFO | test_get_status | 32 | Asserting that the API status is UP.
2026-04-29 14:19:03,195 | INFO | test_get_status | 35 | Asserting that the response status code is 200.
2026-04-29 14:19:03,196 | INFO | test_get_status | 39 | Saving API status response to a JSON file for debugging.
2026-04-29 14:19:03,198 | INFO | test_get_status | 43 | ✓ Test completed successfully: API status is UP.
2026-04-29 14:19:03,212 | INFO | test_create_new_cart | 20 | Starting test: test_create_new_cart - Creating a new shopping cart.
2026-04-29 14:19:03,247 | INFO | test_create_new_cart | 23 | Making POST request to /carts endpoint to create new cart.
2026-04-29 14:19:03,614 | INFO | test_create_new_cart | 27 | Parsing response from /carts endpoint.
2026-04-29 14:19:03,614 | INFO | test_create_new_cart | 31 | Asserting that the /carts endpoint returned 201 Created.
2026-04-29 14:19:03,614 | INFO | test_create_new_cart | 35 | Asserting that response is a JSON object.
2026-04-29 14:19:03,614 | INFO | test_create_new_cart | 39 | Asserting that response contains required cart fields.
2026-04-29 14:19:03,627 | INFO | test_create_new_cart | 44 | Performing type checks on cart fields.
2026-04-29 14:19:03,627 | INFO | test_create_new_cart | 49 | Asserting that cart was successfully created.
2026-04-29 14:19:03,628 | INFO | test_create_new_cart | 53 | Saving cart details to JSON file for debugging and reuse.
2026-04-29 14:19:03,629 | INFO | test_create_new_cart | 58 | Saving cartId to text file for quick access by other tests.
2026-04-29 14:19:03,633 | INFO | test_create_new_cart | 62 | ✓ Test completed successfully: New shopping cart created.
2026-04-29 14:19:03,658 | INFO | test_add_item_to_cart | 21 | Starting test: test_add_item_to_cart - Adding an item to the shopping cart.
2026-04-29 14:19:03,661 | INFO | test_add_item_to_cart | 24 | Loading product list from test data file.
2026-04-29 14:19:03,663 | INFO | test_add_item_to_cart | 29 | Asserting that product list is not empty.
2026-04-29 14:19:03,664 | INFO | test_add_item_to_cart | 33 | Selecting random product from available products.
2026-04-29 14:19:03,666 | INFO | test_add_item_to_cart | 38 | Preparing payload with selected product ID.
2026-04-29 14:19:03,678 | INFO | test_add_item_to_cart | 44 | Reading cart ID from file.
2026-04-29 14:19:03,680 | INFO | test_add_item_to_cart | 49 | Asserting that cart ID is present.
2026-04-29 14:19:03,680 | INFO | test_add_item_to_cart | 54 | Making POST request to add item to cart.
2026-04-29 14:19:04,057 | INFO | test_add_item_to_cart | 58 | Parsing response from add item to cart endpoint.
2026-04-29 14:19:04,067 | INFO | test_add_item_to_cart | 62 | Asserting that add item endpoint returned 201 Created.
2026-04-29 14:19:04,102 | INFO | test_get_cart_items | 21 | Starting test: test_get_cart_items - Retrieving all items from the shopping cart.
2026-04-29 14:19:04,121 | INFO | test_get_cart_items | 24 | Reading cart ID from file.
2026-04-29 14:19:04,125 | INFO | test_get_cart_items | 30 | Making GET request to retrieve cart items.
2026-04-29 14:19:04,443 | INFO | test_get_cart_items | 34 | Asserting that get cart items endpoint returned 200 OK.
2026-04-29 14:19:04,443 | INFO | test_get_cart_items | 38 | Parsing response from get cart items endpoint.
2026-04-29 14:19:04,460 | INFO | test_get_cart_items | 42 | Asserting that response is a list of items.
2026-04-29 14:19:04,462 | INFO | test_get_cart_items | 62 | Cart is empty, skipping item structure validation.
2026-04-29 14:19:04,463 | INFO | test_get_cart_items | 65 | Saving cart items to JSON file for debugging and reuse.
2026-04-29 14:19:04,464 | INFO | test_get_cart_items | 69 | ✓ Test completed successfully: Cart items retrieved.
2026-04-29 14:19:04,476 | INFO | test_modify_item_in_cart | 22 | Starting test: test_modify_item_in_cart - Modifying quantity of an item in the cart.
2026-04-29 14:19:04,477 | INFO | test_modify_item_in_cart | 25 | Reading cart ID from file.
2026-04-29 14:19:04,478 | INFO | test_modify_item_in_cart | 31 | Reading cart items from file.
2026-04-29 14:19:04,480 | INFO | test_modify_item_in_cart | 37 | Selecting random item from cart to modify.
2026-04-29 14:19:04,533 | INFO | test_replace_item_in_cart | 22 | Starting test: test_replace_item_in_cart - Replacing an item in the cart with a new product.
2026-04-29 14:19:04,540 | INFO | test_replace_item_in_cart | 24 | Reading cart ID from file.
2026-04-29 14:19:04,543 | INFO | test_replace_item_in_cart | 29 | Reading cart items from file.
2026-04-29 14:19:04,544 | INFO | test_replace_item_in_cart | 33 | Selecting random item from cart to replace.
2026-04-29 14:19:04,619 | INFO | test_register_a_new_client | 52 | Starting test: test_register_a_new_client - Registering a new API client and generating access token.
2026-04-29 14:19:04,626 | INFO | test_register_a_new_client | 58 | Generating random client credentials using Faker.
2026-04-29 14:19:04,634 | INFO | test_register_a_new_client | 66 | Making POST request to /api-clients endpoint to register new client.
2026-04-29 14:19:05,412 | INFO | test_register_a_new_client | 70 | Asserting that the /api-clients endpoint returned 201 Created.
2026-04-29 14:19:05,412 | INFO | test_register_a_new_client | 74 | Parsing response to extract access token.
2026-04-29 14:19:05,467 | INFO | test_register_a_new_client | 78 | Saving access token to file for reuse in other tests.
2026-04-29 14:19:05,468 | INFO | test_register_a_new_client | 83 | Saving client details to file for debugging and reuse.
2026-04-29 14:19:05,468 | INFO | test_register_a_new_client | 88 | Asserting that access token is present in response.
2026-04-29 14:19:05,480 | INFO | test_register_a_new_client | 90 | Asserting that access token is a dictionary.
2026-04-29 14:19:05,481 | INFO | test_register_a_new_client | 94 | Combining client details and access token into single dictionary.
2026-04-29 14:19:05,482 | INFO | test_register_a_new_client | 103 | Loading existing client details from file.
2026-04-29 14:19:05,489 | INFO | test_register_a_new_client | 118 | Appending new client to existing client details.
2026-04-29 14:19:05,490 | INFO | test_register_a_new_client | 122 | Saving updated client details to file.
2026-04-29 14:19:05,496 | INFO | test_register_a_new_client | 126 | ✓ Test completed successfully: New API client registered and access token generated.
2026-04-29 14:19:05,506 | INFO | test_create_a_new_order | 30 | Starting test: test_create_a_new_order - Creating a new order from cart.
2026-04-29 14:19:05,507 | INFO | test_create_a_new_order | 33 | Reading cart ID from file.
2026-04-29 14:19:05,509 | INFO | test_create_a_new_order | 38 | Reading access token from file.
2026-04-29 14:19:05,516 | INFO | test_create_a_new_order | 42 | Reading client details from file.
